"","catch_sd","td_total","div_total","exp_ess","min_ess","min_ess_par","max_ess"
"1",0.01,3245,0,26195.1569148028,8010.78979483232,"F[15]",91025.9023275961
"2",0.0278255940220712,0,0,25796.5108368904,7525.90899094,"q",91964.2472998329
"3",0.0774263682681127,0,0,26464.5867898384,7895.88046743494,"q",91025.7589055804
"4",0.215443469003188,0,0,25497.0980270038,6742.29049706291,"q",91127.1634908189
"5",0.599484250318941,0,0,27639.3376778631,8230.45921354318,"q",97964.1374887219
"6",1.66810053720006,0,10,31140.1678328367,7007.97209702528,"q",131412.386371552
"7",4.64158883361278,0,89930,21.9666819131563,3.02960306300192,"lp__",135.021266481324
"8",12.9154966501488,0,90000,3.19124185093313,3.01230949824036,"lp__",4.641896564792
"9",35.9381366380463,0,90000,3.25727485591779,3.00934086149728,"tau",8.51119030989352
"10",100,0,90000,3.03933109021155,3.00717220983309,"P_med[10]",3.54316996208844
