"","catch_sd","warmup","sample","min_ess_rate","exp_ess_rate"
"1",0.01,21244.69,74774.1,0.107133215843886,0.350323934554917
"2",0.0278255940220712,7488.915,26183.97,0.287424290164555,0.98520242869551
"3",0.0774263682681127,2885.169,9227.78,0.855664143210495,2.8679256321497
"4",0.215443469003188,1001.29,3734.915,1.80520587404611,6.82668762930449
"5",0.599484250318941,409.0463,1461.553,5.63131081359566,18.9109376655264
"6",1.66810053720006,174.5651,523.4933,13.386937515772,59.4853226064913
"7",4.64158883361278,38.39352,69.90297,0.0433401193540406,0.314245330536832
"8",12.9154966501488,60.49362,65.58544,0.0459295462261191,0.0486577790883637
"9",35.9381366380463,60.16361,46.34919,0.0649275825855269,0.0702768453109491
"10",100,66.46473,85.18558,0.0353014231966618,0.0356789387383587
